domain,edge,x,y,n_genomes
Bacteria,10,-0.4135502951601895,0.019562753024540736,5075
Bacteria,10,-0.41292102218885013,0.03004625380133411,5075
Bacteria,10,-0.41202603536020765,0.04051041987350833,5075
Bacteria,10,-0.41086591059650807,0.0509485175709881,5075
Bacteria,10,-0.4094413944357316,0.061353829998645824,5075
Bacteria,10,-0.40775340355119705,0.07171966135860987,5075
Bacteria,10,-0.41402653283660007,0.07282304076412695,5075
Bacteria,21955,-0.41391344933831914,0.009066663655047512,5
Bacteria,21955,-0.414010251034247,-0.001435260094492426,5
Bacteria,21955,-0.41384063795627407,-0.011936260257013425,5
Bacteria,21955,-0.413404719250079,-0.022429579459776243,5
Bacteria,21955,-0.41270277542848305,-0.03290846527272453,5
Bacteria,21955,-0.4117352581909407,-0.04336617455365904,5
Bacteria,21955,-0.41050279013287183,-0.05379597778743701,5
Bacteria,21955,-0.9536295586163638,-0.12497219455235369,5
Bacteria,21979,-0.7764734109154602,-0.22679522586527243,1093
Bacteria,21979,-0.7777995087631008,-0.22220476255437932,1093
Bacteria,21979,-0.77909846832891,-0.21760654627449805,1093
Bacteria,21979,-0.7803702442907579,-0.2130007374624605,1093
Bacteria,21979,-0.7816147922749791,-0.20838749682001145,1093
Bacteria,21979,-0.7828320688579238,-0.20376698530819942,1093
Bacteria,21979,-0.7840220315674705,-0.1991393641417619,1093
Bacteria,21979,-0.7901954333908364,-0.2007073906310671,1093
Bacteria,23972,-0.7764734109154602,-0.22679522586527243,29
Bacteria,23972,-0.7751202210550032,-0.23137777604085474,29
Bacteria,23972,-0.773739986396015,-0.23595225319090163,29
Bacteria,23972,-0.7723327550964039,-0.24051849770686515,29
Bacteria,23972,-0.7708985762560199,-0.2450763502674432,29
Bacteria,23972,-0.7694374999149431,-0.2496256518441381,29
Bacteria,23972,-0.7679495770517369,-0.25416624370680546,29
Bacteria,23972,-0.792136965305335,-0.26217147972906707,29
Bacteria,24463,-0.33983031832876004,-0.5311666182582836,6380
Bacteria,24463,-0.341040581955186,-0.5303903685654893,6380
Bacteria,24463,-0.3422490724587743,-0.5296113612909717,6380
Bacteria,24463,-0.3434557835563947,-0.5288296004849109,6380
Bacteria,24463,-0.3446607089741695,-0.5280450902118022,6380
Bacteria,24463,-0.34586384244750534,-0.5272578345504358,6380
Bacteria,24463,-0.3470651777211238,-0.5264678375938765,6380
Bacteria,24463,-0.3505708865869937,-0.5317856945392692,6380
Bacteria,33362,-0.33983031832876004,-0.5311666182582836,0
Bacteria,33362,-0.33861828787184367,-0.5319401063335127,0
Bacteria,33362,-0.33740449688597196,-0.5327108287696916,0
Bacteria,33362,-0.33618895168183194,-0.5334787815597153,0
Bacteria,33362,-0.33497165857923106,-0.5342439607108784,0
Bacteria,33362,-0.3337526239070652,-0.5350063622448957,0
Bacteria,33362,-0.332531854003285,-0.5357659821979233,0
Bacteria,33362,-0.5038361424292197,-0.811766639693823,0
Bacteria,33461,0.055594592501738385,-0.013977791428604945,17152
Bacteria,33461,0.05526034595268186,-0.015245705423031275,17152
Bacteria,33461,0.05489718686133582,-0.016505642773533693,17152
Bacteria,33461,0.054505305234700895,-0.01775694427338261,17152
Bacteria,33461,0.05408490610757924,-0.01899895523417711,17152
Bacteria,33461,0.05363620943529928,-0.020231025828381523,17152
Bacteria,33461,0.053159449978633665,-0.021452511429319258,17152
Bacteria,33461,0.05906605553181518,-0.023836123810354732,17152
Bacteria,57848,0.055594592501738385,-0.013977791428604945,294
Bacteria,57848,0.05589975162871921,-0.012702564170411873,294
Bacteria,57848,0.05617566367255072,-0.011420690854952405,294
Bacteria,57848,0.056422184274407455,-0.010132842165983608,294
Bacteria,57848,0.05663918445324156,-0.008839691913613723,294
Bacteria,57848,0.056826550673266384,-0.007541916681760407,294
Bacteria,57848,0.05698418490335914,-0.006240195474158184,294
Bacteria,57848,0.8167733169481478,-0.08944280179626732,294
Bacteria,59792,0.8212405928714276,-0.0261257476798666,107
Bacteria,59792,0.8212285696462279,-0.026500989952389902,107
Bacteria,59792,0.8212163749648714,-0.026876226692035453,107
Bacteria,59792,0.8212040088299044,-0.02725145782045984,107
Bacteria,59792,0.8211914712439086,-0.027626683259323007,107
Bacteria,59792,0.8211787622095014,-0.02800190293028609,107
Bacteria,59792,0.8211658817293365,-0.028377116755009247,107
Bacteria,59792,0.8275315087194863,-0.028597094404272883,107
Bacteria,60439,0.8212405928714276,-0.0261257476798666,0
Bacteria,60439,0.8212524446379605,-0.025750499952807183,0
Bacteria,60439,0.8212641249433522,-0.025375246849557366,0
Bacteria,60439,0.821275633785164,-0.024999988448461786,0
Bacteria,60439,0.821286971160993,-0.024624724827866186,0
Bacteria,60439,0.8212981370684724,-0.024249456066118863,0
Bacteria,60439,0.8213091315052709,-0.023874182241569182,0
Bacteria,60439,0.9422771431223262,-0.027390534664746037,0
Bacteria,11,-0.41402653283660007,0.07282304076412695,5075
Bacteria,11,-0.40992657031511853,0.09317388104245837,5075
Bacteria,11,-0.4048269280148928,0.11329750002914808,5075
Bacteria,11,-0.3987400423322326,0.13314482265457908,5075
Bacteria,11,-0.3916807572342609,0.152667447647578,5075
Bacteria,11,-0.3836662880592256,0.17181776557063397,5075
Bacteria,11,-0.3747161795337968,0.19054907492408701,5075
Bacteria,11,-0.380393697405521,0.1934361821199065,5075
Bacteria,21676,-0.41402653283660007,0.07282304076412695,0
Bacteria,21676,-0.4171168170822331,0.052294608383818324,0
Bacteria,21676,-0.4191898868372545,0.03163864618152607,0
Bacteria,21676,-0.42024068654766,0.010905527441685646,0
