domain,node,x,y,n_genomes
Bacteria,46862,-0.5621269377257114,-0.8270509693381141,0
Bacteria,46862,-0.561742532093792,-0.8273121101717629,0
Bacteria,46862,-0.5613580051467062,-0.8275730723372472,0
Bacteria,59307,0.9223424456939405,-0.22353979301916754,0
Bacteria,59307,0.9713868829803106,-0.2375026811928579,0
Bacteria,59307,0.9716804613304869,-0.23629871152541698,0
Bacteria,59307,0.9719725474406544,-0.23509437896667126,0
Bacteria,59890,0.9201395531298523,-0.13462813779212676,3
Bacteria,59890,0.9888480436372578,-0.14892799130710122,3
Bacteria,59890,0.9892254650527167,-0.14640006588535515,3
Bacteria,59890,0.9895964240027751,-0.14387118405337315,3
Bacteria,60573,0.8784549023174621,-0.030403825464185685,81
Bacteria,60573,0.9990460305883125,-0.04366954048002508,81
Bacteria,60573,0.9992532205912392,-0.03863937289910584,81
Bacteria,60573,0.9994350840080841,-0.03360822598343659,81
Bacteria,36034,-0.6926146682004705,0.581661652684066,45
Bacteria,36034,-0.7624962331178202,0.6469926541168259,45
Bacteria,36034,-0.7645469546651992,0.6445680368372061,45
Bacteria,36034,-0.7665899663469103,0.6421369195866585,45
Bacteria,39389,-0.9028538609100042,0.1615737361572627,8
Bacteria,39389,-0.9831334606872701,0.18288958001229033,8
Bacteria,39389,-0.9840279593128402,0.17801397498681776,8
Bacteria,39389,-0.9848982787456826,0.1731339958638734,8
Bacteria,41195,-0.8867575483036171,-0.09394229370738882,6
Bacteria,41195,-0.9953965008023716,-0.09584261155871213,6
Bacteria,41195,-0.9948386931132225,-0.1014690824082658,6
Bacteria,41195,-0.9942490820987634,-0.1070923094613537,6
Bacteria,41907,-0.890005991126847,-0.1936414928519642,27
Bacteria,41907,-0.9788307443423465,-0.20467138033982132,27
Bacteria,41907,-0.9775600899023357,-0.21065676022890278,27
Bacteria,41907,-0.9762528362625164,-0.21663425326894262,27
Bacteria,42335,-0.8948305619515291,-0.25310037162535076,8
Bacteria,42335,-0.9630788354034442,-0.26921953271994503,8
Bacteria,42335,-0.9625977153838928,-0.27093474922517796,8
Bacteria,42335,-0.9621135406142689,-0.2726491059341209,8
Bacteria,53116,0.3468627683281386,-0.8833865779710895,0
Bacteria,53116,0.3631724922173971,-0.9317219225158355,0
Bacteria,53116,0.364471100923171,-0.9312146995144845,0
Bacteria,53116,0.36576900122113815,-0.9307056665486093,0
Bacteria,58932,0.9197712550674274,-0.281155157928432,0
